CH4 (Methane) [%],CO2 (Carbon Dioxide) [%],Temperature °C),pH,N (%),P (%),K (%),Pressure (psi),CH4 Reading,CO2 Reading,Temperature Reading,pH Reading,NPK Reading,Pressure Reading,Biogas Quality,Timestamp
63.49,51.24,22.45,6.14,3.66,0.48,1.82,17.18,Accurate,High,Moderate,Low,Accurate,Accurate,High,2024-11-05 05:00:00
31.1,41.29,42.21,4.88,3.3,0.56,1.89,22.3,Moderate,High,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-05 10:00:00
47.24,40.33,30.47,7.29,3.9,0.59,1.67,24.21,Moderate,High,Accurate,Accurate,Accurate,Accurate,Low Quality,2024-11-05 17:00:00
55.6,47.68,39.97,4.12,3.37,0.42,1.67,22.97,Accurate,High,Accurate,Low,Accurate,Accurate,High,2024-11-05 23:00:00
46.39,54.66,32.68,6.21,3.27,0.41,1.83,25.75,Moderate,High,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-06 06:00:00
46.16,46.0,22.06,7.06,2.8,0.36,1.92,11.02,Moderate,High,Moderate,Accurate,Accurate,Low,Low Quality,2024-11-06 14:00:00
35.1,42.44,49.84,6.06,3.06,0.41,1.75,19.41,Moderate,High,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-06 21:00:00
27.51,33.77,23.77,5.43,3.08,0.45,1.81,25.03,Moderate,Moderate,Moderate,Low,Accurate,Accurate,Low Quality,2024-11-07 05:00:00
51.21,31.23,32.59,7.18,2.26,0.43,1.8,24.88,Accurate,Moderate,Accurate,Accurate,Accurate,Accurate,High,2024-11-07 11:00:00
64.81,34.36,21.03,7.27,2.46,0.44,1.66,11.94,Accurate,Moderate,Moderate,Accurate,Accurate,Low,High,2024-11-07 19:00:00
51.13,46.24,35.74,4.42,3.76,0.51,1.8,18.84,Accurate,High,Accurate,Low,Accurate,Accurate,High,2024-11-08 03:00:00
31.83,30.9,37.93,4.73,3.48,0.37,1.76,24.23,Moderate,Moderate,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-08 10:00:00
57.9,53.31,31.24,5.85,3.66,0.46,1.52,20.6,Accurate,High,Accurate,Low,Accurate,Accurate,High,2024-11-08 15:00:00
29.66,31.02,24.07,5.73,2.61,0.54,1.58,15.41,Moderate,Moderate,Moderate,Low,Accurate,Accurate,Low Quality,2024-11-08 23:00:00
32.23,48.31,35.8,6.35,3.99,0.53,1.9,12.86,Moderate,High,Accurate,Low,Accurate,Low,Low Quality,2024-11-09 07:00:00
56.12,43.8,26.49,4.84,2.9,0.33,1.93,12.64,Accurate,High,Moderate,Low,Accurate,Low,High,2024-11-09 15:00:00
53.56,39.97,20.65,7.16,2.11,0.38,1.89,13.1,Accurate,Moderate,Moderate,Accurate,Accurate,Low,High,2024-11-09 20:00:00
50.73,38.52,52.19,4.4,3.88,0.36,1.56,20.93,Accurate,Moderate,Moderate,Low,Accurate,Accurate,High,2024-11-10 03:00:00
48.92,31.13,31.83,6.86,3.53,0.42,1.86,18.17,Moderate,Moderate,Accurate,Accurate,Accurate,Accurate,Low Quality,2024-11-10 10:00:00
64.66,32.66,35.19,6.13,3.16,0.43,1.91,23.86,Accurate,Moderate,Accurate,Low,Accurate,Accurate,High,2024-11-10 15:00:00
45.8,30.77,54.11,7.24,2.01,0.31,1.79,18.9,Moderate,Moderate,Moderate,Accurate,Accurate,Accurate,Low Quality,2024-11-10 23:00:00
46.04,48.67,31.6,5.09,3.37,0.47,1.68,11.21,Moderate,High,Accurate,Low,Accurate,Low,Low Quality,2024-11-11 06:00:00
72.72,42.52,42.27,6.38,3.18,0.53,1.91,16.4,Accurate,High,Accurate,Low,Accurate,Accurate,Optimal,2024-11-11 14:00:00
44.63,30.2,47.84,7.12,2.6,0.58,1.57,12.12,Moderate,Moderate,Accurate,Accurate,Accurate,Low,Low Quality,2024-11-11 21:00:00
46.92,46.38,54.0,4.19,2.92,0.43,1.54,23.88,Moderate,High,Moderate,Low,Accurate,Accurate,Low Quality,2024-11-12 04:00:00
72.46,46.99,35.32,7.25,3.49,0.31,1.5,18.36,Accurate,High,Accurate,Accurate,Accurate,Accurate,Optimal,2024-11-12 09:00:00
72.17,37.34,45.69,7.08,3.79,0.43,1.55,11.04,Accurate,Moderate,Accurate,Accurate,Accurate,Low,Optimal,2024-11-12 17:00:00
52.97,36.18,24.29,6.45,3.2,0.35,1.84,17.26,Accurate,Moderate,Moderate,Low,Accurate,Accurate,High,2024-11-12 23:00:00
41.05,45.07,39.43,6.73,2.04,0.56,1.87,22.59,Moderate,High,Accurate,Accurate,Accurate,Accurate,Low Quality,2024-11-13 06:00:00
58.96,31.92,30.7,5.79,3.62,0.56,1.91,21.3,Accurate,Moderate,Accurate,Low,Accurate,Accurate,High,2024-11-13 13:00:00
44.86,48.95,46.73,4.32,3.82,0.36,1.77,12.81,Moderate,High,Accurate,Low,Accurate,Low,Low Quality,2024-11-13 20:00:00
40.33,42.38,52.33,7.13,3.42,0.54,1.83,13.17,Moderate,High,Moderate,Accurate,Accurate,Low,Low Quality,2024-11-14 02:00:00
49.12,41.88,31.83,5.44,3.01,0.52,1.52,25.9,Moderate,High,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-14 08:00:00
69.51,43.35,50.89,5.24,2.9,0.32,1.51,16.4,Accurate,High,Moderate,Low,Accurate,Accurate,High,2024-11-14 15:00:00
56.07,42.75,23.15,6.19,2.14,0.58,1.82,19.41,Accurate,High,Moderate,Low,Accurate,Accurate,High,2024-11-14 22:00:00
72.92,49.14,24.55,6.99,2.17,0.43,1.94,11.22,Accurate,High,Moderate,Accurate,Accurate,Low,Optimal,2024-11-15 05:00:00
72.23,38.28,51.75,5.94,2.88,0.44,1.69,17.75,Accurate,Moderate,Moderate,Low,Accurate,Accurate,Optimal,2024-11-15 11:00:00
46.98,51.6,31.22,4.68,2.28,0.55,1.92,14.96,Moderate,High,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-15 19:00:00
63.89,52.37,53.79,6.14,3.36,0.58,1.63,13.14,Accurate,High,Moderate,Low,Accurate,Low,High,2024-11-16 02:00:00
48.19,47.86,39.65,5.72,2.19,0.31,1.84,25.89,Moderate,High,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-16 10:00:00
65.34,55.34,36.21,4.29,2.77,0.59,1.85,26.27,Accurate,High,Accurate,Low,Accurate,Accurate,High,2024-11-16 15:00:00
64.02,36.81,26.86,6.66,3.29,0.41,1.65,25.79,Accurate,Moderate,Moderate,Accurate,Accurate,Accurate,High,2024-11-16 22:00:00
36.9,41.47,32.91,6.45,3.53,0.59,1.57,14.71,Moderate,High,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-17 05:00:00
59.51,47.94,36.86,6.89,2.51,0.4,1.93,13.18,Accurate,High,Accurate,Accurate,Accurate,Low,High,2024-11-17 13:00:00
37.34,38.38,31.36,6.7,3.36,0.57,1.81,17.19,Moderate,Moderate,Accurate,Accurate,Accurate,Accurate,Low Quality,2024-11-17 21:00:00
33.78,44.24,33.48,5.36,3.33,0.44,1.56,15.77,Moderate,High,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-18 05:00:00
41.92,36.41,29.06,4.53,2.77,0.43,1.88,26.07,Moderate,Moderate,Moderate,Low,Accurate,Accurate,Low Quality,2024-11-18 11:00:00
35.81,33.38,31.15,5.21,3.06,0.35,1.92,21.88,Moderate,Moderate,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-18 19:00:00
70.27,40.32,41.73,5.06,3.06,0.57,1.6,19.39,Accurate,High,Accurate,Low,Accurate,Accurate,Optimal,2024-11-19 03:00:00
69.52,42.21,29.67,5.03,2.92,0.35,1.88,17.73,Accurate,High,Moderate,Low,Accurate,Accurate,High,2024-11-19 08:00:00
38.82,46.71,30.22,4.15,2.23,0.59,1.87,13.45,Moderate,High,Accurate,Low,Accurate,Low,Low Quality,2024-11-19 13:00:00
37.51,47.02,39.73,4.1,2.66,0.56,1.78,16.11,Moderate,High,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-19 20:00:00
62.96,32.21,51.94,6.75,3.91,0.48,1.89,15.3,Accurate,Moderate,Moderate,Accurate,Accurate,Accurate,High,2024-11-20 04:00:00
33.47,40.7,45.69,6.5,3.98,0.4,1.69,20.34,Moderate,High,Accurate,Accurate,Accurate,Accurate,Low Quality,2024-11-20 12:00:00
67.03,41.71,27.14,5.22,3.36,0.52,1.61,16.4,Accurate,High,Moderate,Low,Accurate,Accurate,High,2024-11-20 17:00:00
37.37,32.89,49.38,6.3,2.34,0.58,1.7,15.29,Moderate,Moderate,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-21 00:00:00
56.13,48.87,38.44,5.98,2.66,0.41,1.71,10.52,Accurate,High,Accurate,Low,Accurate,Low,High,2024-11-21 06:00:00
49.72,39.91,31.01,5.08,2.88,0.33,1.9,22.54,Moderate,Moderate,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-21 14:00:00
72.35,54.68,48.96,6.66,2.44,0.57,1.68,22.11,Accurate,High,Accurate,Accurate,Accurate,Accurate,Optimal,2024-11-21 19:00:00
47.04,33.49,42.87,4.48,3.21,0.6,1.55,19.56,Moderate,Moderate,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-22 01:00:00
37.9,51.21,30.46,6.46,2.08,0.57,1.53,25.85,Moderate,High,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-22 08:00:00
66.62,32.01,48.86,5.74,3.82,0.56,1.5,16.9,Accurate,Moderate,Accurate,Low,Accurate,Accurate,High,2024-11-22 14:00:00
29.47,43.88,49.65,6.1,2.07,0.59,1.6,18.79,Moderate,High,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-22 20:00:00
71.91,41.45,42.78,5.65,2.74,0.47,1.68,13.66,Accurate,High,Accurate,Low,Accurate,Low,Optimal,2024-11-23 01:00:00
66.67,31.43,36.74,4.88,3.65,0.51,1.84,25.46,Accurate,Moderate,Accurate,Low,Accurate,Accurate,High,2024-11-23 07:00:00
36.58,35.78,48.0,5.92,2.15,0.5,1.66,23.87,Moderate,Moderate,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-23 14:00:00
67.42,42.59,36.74,5.33,3.0,0.46,1.75,16.36,Accurate,High,Accurate,Low,Accurate,Accurate,High,2024-11-23 19:00:00
59.73,47.84,39.43,4.54,2.1,0.36,1.69,11.14,Accurate,High,Accurate,Low,Accurate,Low,High,2024-11-24 00:00:00
30.64,55.26,25.66,7.16,2.81,0.39,1.78,19.29,Moderate,High,Moderate,Accurate,Accurate,Accurate,Low Quality,2024-11-24 05:00:00
73.5,36.04,48.1,5.41,3.94,0.38,1.77,12.53,Accurate,Moderate,Accurate,Low,Accurate,Low,Optimal,2024-11-24 13:00:00
70.77,31.53,22.37,6.03,3.76,0.55,1.76,23.56,Accurate,Moderate,Moderate,Low,Accurate,Accurate,Optimal,2024-11-24 20:00:00
70.97,34.11,34.72,6.1,3.65,0.54,1.67,15.73,Accurate,Moderate,Accurate,Low,Accurate,Accurate,Optimal,2024-11-25 03:00:00
34.99,52.64,52.51,6.77,2.13,0.5,1.54,25.97,Moderate,High,Moderate,Accurate,Accurate,Accurate,Low Quality,2024-11-25 08:00:00
28.28,32.0,40.83,5.97,3.8,0.32,1.94,15.31,Moderate,Moderate,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-25 14:00:00
30.16,48.28,41.79,4.66,2.23,0.41,1.63,19.31,Moderate,High,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-25 21:00:00
59.45,39.81,26.32,4.78,3.09,0.43,1.76,17.5,Accurate,Moderate,Moderate,Low,Accurate,Accurate,High,2024-11-26 03:00:00
34.61,39.16,48.89,5.33,2.7,0.51,1.76,19.69,Moderate,Moderate,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-26 11:00:00
27.56,51.15,34.07,5.52,3.27,0.54,1.77,12.35,Moderate,High,Accurate,Low,Accurate,Low,Low Quality,2024-11-26 16:00:00
29.24,45.04,46.65,6.97,3.68,0.54,1.86,23.39,Moderate,High,Accurate,Accurate,Accurate,Accurate,Low Quality,2024-11-27 00:00:00
48.32,38.79,20.1,7.16,2.42,0.36,1.59,11.12,Moderate,Moderate,Moderate,Accurate,Accurate,Low,Low Quality,2024-11-27 06:00:00
70.26,33.27,34.84,6.79,3.19,0.45,1.87,18.28,Accurate,Moderate,Accurate,Accurate,Accurate,Accurate,Optimal,2024-11-27 14:00:00
53.81,45.85,34.59,5.63,2.88,0.55,1.91,14.52,Accurate,High,Accurate,Low,Accurate,Accurate,High,2024-11-27 21:00:00
31.91,54.94,51.1,4.38,3.92,0.57,1.9,24.92,Moderate,High,Moderate,Low,Accurate,Accurate,Low Quality,2024-11-28 05:00:00
65.29,49.87,34.51,7.32,3.16,0.32,1.79,19.42,Accurate,High,Accurate,Accurate,Accurate,Accurate,High,2024-11-28 11:00:00
60.8,55.72,44.79,6.05,2.84,0.38,1.69,18.69,Accurate,High,Accurate,Low,Accurate,Accurate,High,2024-11-28 19:00:00
42.78,33.26,39.39,5.62,2.16,0.53,1.54,17.76,Moderate,Moderate,Accurate,Low,Accurate,Accurate,Low Quality,2024-11-29 03:00:00
29.03,45.74,22.44,4.33,3.98,0.44,1.55,11.64,Moderate,High,Moderate,Low,Accurate,Low,Low Quality,2024-11-29 11:00:00
54.73,39.04,48.5,4.45,3.08,0.59,1.61,19.49,Accurate,Moderate,Accurate,Low,Accurate,Accurate,High,2024-11-29 17:00:00
73.29,36.89,25.72,4.4,2.11,0.59,1.61,24.77,Accurate,Moderate,Moderate,Low,Accurate,Accurate,Optimal,2024-11-29 22:00:00
51.38,40.18,52.08,6.41,3.43,0.31,1.86,14.12,Accurate,High,Moderate,Low,Accurate,Accurate,High,2024-11-30 04:00:00
40.47,45.91,25.38,5.85,3.8,0.38,1.93,16.83,Moderate,High,Moderate,Low,Accurate,Accurate,Low Quality,2024-11-30 09:00:00
29.14,55.4,50.25,5.31,2.41,0.36,1.82,22.01,Moderate,High,Moderate,Low,Accurate,Accurate,Low Quality,2024-11-30 17:00:00
41.73,39.55,34.47,7.25,3.22,0.58,1.73,11.87,Moderate,Moderate,Accurate,Accurate,Accurate,Low,Low Quality,2024-11-30 22:00:00
