Date,Time,Temp (°C),pH,Moisture (%),N (mg/kg),P (mg/kg),K (mg/kg),COD (mg/L),CH4 (%),CO2 (%),Pressure (psi),Pathogen (CFU/ml),Flow (L/min),UV Intensity (mW/cm²),Opt Temp (°C),pH Adj,Process Time (hrs),Opt NPK,UV Time (min),Pathogen Status
2023-10-01,03:35:17,36.52,6.91,53.8,882.28,64.23,210.11,16372.15,51.44,33.45,19.93,3.99,1.42,17.22,45.02,-0.49,22.06,4:1:1,7.71,Absent
2024-07-13,22:24:32,38.63,7.39,50.57,1301.96,111.91,180.42,10745.15,53.08,33.18,20.83,40.04,1.08,13.34,35.9,0.32,18.49,3:1:1,20.05,Absent
2025-03-22,09:22:16,41.13,6.93,77.06,1004.83,128.59,276.88,10925.03,50.1,30.47,16.83,71.77,4.09,17.51,41.47,0.06,50.78,Optimal,18.63,Present
2024-05-12,07:09:39,44.18,7.01,40.92,832.71,183.34,249.53,13214.48,74.89,31.21,25.16,50.74,3.93,8.24,40.31,0.04,38.55,Optimal,21.1,Present
2023-09-26,01:39:58,44.84,6.82,68.08,1463.29,184.48,261.81,17824.25,63.03,29.68,28.28,55.39,3.78,9.27,45.15,-0.05,17.9,2:1:2,7.93,Absent
2023-07-30,17:42:27,37.67,7.33,79.08,1332.79,196.99,186.53,17592.09,61.83,36.92,25.08,97.24,1.9,14.04,36.05,0.33,35.01,4:1:1,6.49,Absent
2023-05-22,05:31:41,42.93,7.08,60.21,1087.36,173.16,284.84,14381.44,61.78,37.56,23.28,86.73,4.73,14.01,40.22,-0.11,67.46,2:1:2,8.69,Absent
2025-07-04,16:25:48,43.87,7.36,68.81,896.79,140.36,184.03,13917.71,54.96,31.22,21.12,24.16,1.47,12.5,49.26,0.39,36.19,Optimal,12.43,Present
2024-02-08,09:08:48,40.18,6.65,69.53,853.17,138.57,287.22,11707.35,69.25,27.62,14.27,44.66,3.9,7.66,39.55,-0.46,43.52,2:1:2,7.64,Absent
2025-09-23,12:29:19,40.76,6.79,66.76,1057.64,175.97,294.0,14237.93,53.51,31.1,14.38,36.45,1.86,19.13,41.1,0.13,71.67,3:1:1,18.82,Absent
2025-02-04,23:44:23,35.2,7.02,54.67,846.92,128.25,276.05,14022.94,72.96,30.66,27.86,14.37,2.92,18.88,47.28,0.09,16.88,4:1:1,12.82,Present
2025-09-20,05:41:56,41.63,7.2,60.88,864.77,166.65,171.48,14739.69,67.87,31.75,22.84,74.93,2.64,14.72,40.97,-0.18,32.29,4:1:1,25.72,Present
2025-05-13,22:28:38,35.68,6.53,72.69,1169.86,165.57,269.58,14980.38,56.2,33.67,14.6,47.88,1.95,9.36,45.47,-0.2,58.19,2:1:2,22.25,Present
2025-06-11,13:09:42,39.4,7.29,43.31,1306.45,105.32,243.55,15621.69,66.65,36.36,22.88,19.64,4.01,12.55,45.05,0.29,71.33,4:1:1,14.55,Absent
2025-04-26,06:19:32,44.36,6.88,58.22,950.19,103.58,245.17,13154.23,60.22,36.99,28.59,82.52,1.68,6.91,50.08,0.19,19.54,4:1:1,22.94,Present
2025-05-05,01:41:28,37.5,7.21,59.41,1100.31,152.03,267.56,14593.62,61.39,36.59,13.24,61.89,4.22,11.38,48.4,0.17,37.82,4:1:1,8.67,Absent
2023-07-15,13:49:00,39.77,6.55,66.96,1109.48,185.33,290.95,13899.91,67.91,36.83,15.68,84.69,2.45,11.21,47.59,0.33,67.62,3:1:1,23.47,Present
2024-11-22,10:30:57,39.03,6.82,64.24,1219.84,124.55,192.94,16726.07,68.89,31.37,10.04,53.14,3.76,13.97,43.63,-0.06,51.76,4:1:1,26.24,Present
2023-01-27,03:01:13,42.14,7.28,72.14,1451.92,168.09,234.67,17324.2,56.12,25.5,12.12,38.2,4.98,17.74,49.29,-0.25,24.61,Optimal,22.84,Absent
2023-03-19,05:05:41,43.85,6.53,70.64,1253.06,54.36,241.88,18951.94,51.71,39.09,11.36,42.25,2.56,9.87,43.17,-0.25,71.42,4:1:1,5.49,Absent
2024-09-06,05:04:31,42.89,7.01,68.97,1143.21,71.32,210.86,15447.84,57.67,30.44,28.72,30.4,4.47,15.43,42.65,0.18,12.82,4:1:1,10.02,Present
2023-12-07,11:19:07,41.54,7.2,54.53,995.48,61.04,277.44,11385.89,50.28,36.25,23.18,41.35,4.79,15.99,47.95,0.13,49.43,4:1:1,25.22,Present
2025-07-09,00:29:02,36.08,7.4,60.04,909.99,150.7,164.99,14748.95,60.13,35.76,10.01,28.83,4.3,14.54,43.45,0.05,31.29,Optimal,28.69,Absent
2024-08-01,15:48:17,39.9,7.09,40.49,1421.75,171.63,157.4,10215.79,70.9,28.07,16.61,31.06,4.48,6.18,38.75,0.09,42.92,Optimal,24.27,Absent
2024-06-15,05:18:38,39.14,7.15,72.97,1252.08,82.63,226.45,13255.54,73.79,34.7,17.83,58.98,2.1,14.15,50.14,-0.36,28.69,4:1:1,9.64,Absent
2025-09-13,09:10:33,38.1,7.11,40.48,1186.82,79.94,290.2,16784.68,64.95,36.16,17.7,86.2,2.34,6.93,41.36,-0.0,68.72,2:1:2,25.16,Absent
2023-07-10,22:52:15,41.03,6.82,42.02,809.69,154.89,252.38,16904.72,51.57,31.37,16.5,22.52,3.87,10.09,48.98,0.18,14.24,3:1:1,26.6,Present
2023-01-02,08:01:18,42.98,7.38,43.29,1236.01,174.11,203.7,13957.38,63.31,38.88,12.9,99.01,3.66,18.78,38.42,-0.14,25.08,Optimal,14.02,Present
2025-06-04,23:39:48,37.25,7.38,50.72,872.58,61.11,214.43,10347.89,57.07,28.6,28.9,27.27,1.13,16.05,41.17,-0.39,61.08,2:1:2,25.23,Absent
2024-07-22,22:32:36,42.74,7.25,77.37,1268.91,112.28,218.14,15282.11,50.18,30.79,22.32,9.97,3.13,15.93,46.3,0.35,28.55,2:1:2,22.93,Absent
2023-11-06,17:51:31,38.5,6.78,52.23,1328.02,53.56,263.16,15750.62,74.98,31.9,20.34,71.79,2.2,13.51,39.73,0.12,20.59,Optimal,14.54,Absent
2023-03-19,11:30:47,42.94,7.24,46.46,1081.97,115.06,151.96,18245.17,58.78,38.57,20.61,14.08,3.27,14.95,35.43,-0.46,45.05,4:1:1,13.94,Present
2025-02-10,17:22:28,43.21,7.08,54.78,981.71,165.4,288.81,10184.98,71.5,27.5,24.27,3.1,2.45,6.74,54.07,0.4,33.11,Optimal,8.26,Absent
2024-09-27,10:18:17,40.46,6.98,46.23,958.29,137.24,297.09,17120.24,55.34,30.02,21.05,97.74,1.51,9.24,47.7,-0.43,27.29,4:1:1,28.93,Present
2023-06-26,18:21:09,37.55,6.62,44.28,1011.82,182.72,221.63,11568.34,52.25,37.67,28.77,43.22,2.15,12.9,39.76,-0.15,31.31,4:1:1,20.21,Present
2025-09-06,06:35:16,41.44,6.62,54.26,1216.23,55.76,208.78,19222.27,56.41,29.31,19.89,59.68,1.42,6.76,37.46,-0.21,12.11,3:1:1,18.23,Absent
2024-01-22,16:31:51,41.28,7.29,66.21,994.8,77.6,184.89,12930.62,59.27,25.49,25.47,58.19,4.22,16.86,50.71,-0.42,36.47,3:1:1,28.16,Present
2023-07-01,16:40:24,44.47,7.16,58.46,1435.65,81.77,182.49,11829.92,65.78,30.59,27.55,53.08,1.92,11.01,49.77,-0.3,25.69,Optimal,28.12,Present
2023-12-02,13:55:02,44.76,6.64,63.21,1467.6,156.18,261.32,15500.15,56.53,33.58,16.49,39.3,4.02,12.09,47.26,0.21,17.53,3:1:1,21.14,Absent
2023-02-04,14:18:35,37.56,7.18,62.78,1421.26,160.06,217.07,17371.53,66.58,29.16,15.76,54.14,4.21,11.24,36.04,-0.18,65.15,3:1:1,6.5,Absent
2023-01-24,10:23:55,43.59,7.38,67.45,874.64,97.12,233.24,12628.44,61.49,27.43,20.24,40.8,2.83,9.95,50.23,0.24,39.59,3:1:1,28.8,Present
2025-05-24,09:45:17,36.71,6.63,73.05,1233.71,141.0,244.06,14714.91,71.72,38.88,15.21,50.38,3.77,16.24,40.52,-0.19,30.48,2:1:2,27.05,Present
2025-06-10,01:36:36,38.24,6.72,42.58,945.59,185.29,268.07,13898.16,68.06,28.17,14.82,19.15,4.56,7.47,40.52,0.19,16.48,Optimal,29.04,Absent
2025-08-28,03:11:31,35.29,7.31,70.72,1058.61,108.49,260.06,17259.08,64.83,30.41,22.44,84.15,3.33,11.69,36.72,-0.25,50.42,2:1:2,11.19,Present
2025-09-08,11:52:48,42.49,6.84,67.91,1307.91,72.52,178.33,12290.0,66.03,27.0,29.75,22.7,1.12,9.92,43.54,0.39,16.25,Optimal,5.15,Absent
2024-06-04,18:00:19,42.17,7.2,72.88,1281.57,103.39,187.35,13769.93,63.15,27.47,20.19,70.8,4.37,9.91,42.69,0.42,58.4,3:1:1,23.17,Present
2023-01-05,10:42:21,44.43,6.89,75.94,1057.36,91.38,288.24,15715.27,67.06,39.11,25.16,50.11,4.51,11.25,37.1,-0.25,42.1,3:1:1,8.9,Absent
2023-10-17,03:38:46,37.17,6.64,63.4,1143.09,51.48,238.72,17460.3,74.53,35.43,22.71,15.92,3.59,12.89,37.64,0.33,57.48,3:1:1,16.4,Present
2024-03-23,08:38:48,35.94,7.49,59.07,1444.1,112.68,268.11,11300.42,61.42,34.35,10.19,83.29,3.11,13.67,44.18,-0.37,30.55,4:1:1,14.55,Present
2023-08-31,00:04:38,44.24,7.16,64.96,1198.88,167.13,296.6,12198.83,74.5,34.8,26.56,37.49,1.8,14.42,36.18,0.35,67.69,4:1:1,17.47,Absent
2023-07-04,14:36:14,35.29,6.52,69.45,934.67,56.16,245.98,17242.51,64.19,34.68,25.0,3.95,2.15,5.42,46.61,-0.45,16.59,Optimal,5.06,Present
2024-07-21,01:01:00,37.57,7.05,56.69,986.91,80.88,279.44,18123.1,57.32,38.27,10.12,95.01,2.24,11.39,39.16,-0.38,15.41,4:1:1,18.48,Present
2024-01-08,05:33:23,41.21,7.27,56.25,1099.08,116.36,280.3,18091.69,68.87,32.8,29.48,75.25,3.57,13.48,49.03,-0.5,18.4,3:1:1,22.02,Present
2024-04-02,14:25:46,37.3,6.65,44.19,1102.05,72.48,242.21,14227.03,50.32,28.82,24.02,64.25,3.78,18.59,42.16,-0.3,27.04,4:1:1,15.72,Present
2024-07-04,08:09:36,36.85,7.41,66.61,1021.25,169.04,222.38,14590.87,66.11,26.34,24.45,22.8,3.12,15.86,44.46,0.0,60.72,2:1:2,28.4,Present
2023-08-28,20:21:55,41.34,7.4,42.04,1180.13,89.35,275.62,16967.6,53.56,38.94,23.67,8.03,3.67,7.12,40.92,-0.18,57.39,4:1:1,29.2,Present
2023-10-10,08:11:10,38.24,6.57,59.95,1022.72,196.18,260.89,18237.77,74.67,37.12,15.84,61.63,4.84,10.69,46.72,-0.34,59.94,Optimal,20.7,Present
2024-05-06,06:47:48,41.35,7.1,51.03,1392.53,145.9,167.8,10867.08,53.55,25.97,29.14,68.71,2.53,15.01,54.38,-0.35,55.87,Optimal,15.93,Present
2023-05-20,00:40:53,38.63,7.15,75.62,1431.06,82.31,200.42,16971.29,52.48,30.01,14.97,61.2,1.65,9.04,40.91,-0.07,19.52,Optimal,7.09,Present
2025-06-21,17:55:25,42.42,6.62,65.49,1410.56,171.5,273.8,15223.61,50.43,33.04,26.78,3.22,1.92,19.6,36.41,-0.35,53.96,3:1:1,17.66,Absent
2024-06-01,04:21:09,37.73,6.77,60.09,998.82,136.39,259.63,13579.8,60.54,37.94,19.7,20.71,3.56,7.08,41.28,-0.08,19.95,Optimal,22.4,Present
2024-07-05,00:09:58,40.27,7.03,59.87,1144.33,188.73,269.34,19493.98,57.26,32.96,23.07,46.06,2.4,16.63,51.83,-0.39,59.25,2:1:2,22.85,Absent
2024-10-09,16:18:57,36.4,7.38,78.35,985.91,195.27,257.2,17254.48,59.73,37.6,15.98,28.71,3.95,7.99,46.78,-0.14,26.51,3:1:1,16.09,Present
2025-09-26,13:20:24,35.34,6.51,62.78,872.23,99.96,192.64,13893.53,72.64,29.44,20.61,57.95,4.92,17.19,40.01,-0.01,33.68,3:1:1,24.56,Present
2023-01-16,02:11:00,42.72,6.54,78.32,817.2,187.83,261.56,13049.12,51.89,25.65,15.86,13.76,4.06,7.12,53.98,-0.05,29.04,3:1:1,8.28,Present
2023-10-04,05:26:24,41.95,6.55,51.63,1467.75,89.12,288.98,17750.44,61.03,39.28,18.55,9.07,2.36,6.77,40.84,-0.41,68.53,4:1:1,16.85,Absent
2023-08-27,19:48:08,41.69,6.81,76.78,1467.96,92.68,202.44,14940.76,67.78,35.11,26.56,22.29,1.49,10.12,47.65,0.32,66.8,3:1:1,27.98,Present
2025-08-25,07:05:03,38.52,6.82,40.33,1359.52,143.67,183.12,15405.5,63.35,35.68,15.75,58.23,1.34,17.44,49.42,0.23,16.29,Optimal,28.08,Absent
2025-03-31,00:42:38,43.92,7.07,72.18,1021.04,150.9,299.43,13991.34,69.17,25.98,26.19,85.88,4.78,19.71,37.71,0.44,64.99,2:1:2,17.28,Absent
2024-05-07,22:38:45,35.91,7.14,63.7,1195.43,51.3,178.19,10600.65,69.64,29.55,10.27,95.66,4.97,9.14,49.64,-0.03,69.42,Optimal,14.13,Present
2024-11-16,20:07:44,36.43,7.43,53.56,948.84,74.21,278.57,13842.33,60.96,38.85,15.05,22.54,3.4,18.83,35.07,0.18,70.88,4:1:1,11.85,Absent
2024-01-07,06:14:48,37.15,6.91,44.92,1091.31,129.08,240.48,10461.84,52.36,27.03,28.4,3.86,4.49,14.61,48.22,0.35,44.1,2:1:2,26.52,Absent
2025-05-27,02:18:15,43.75,7.16,52.48,856.23,164.76,221.45,11527.17,65.65,25.26,20.87,50.45,1.63,15.93,35.87,-0.19,14.77,3:1:1,20.7,Present
2023-04-24,19:16:54,35.0,6.77,79.22,1432.68,171.51,175.08,10617.04,65.19,37.84,11.66,70.97,4.98,14.92,35.39,0.33,40.02,3:1:1,19.05,Present
2023-09-08,13:24:21,43.62,6.71,66.99,1254.01,100.46,160.75,14311.79,67.38,27.21,10.87,29.12,1.83,9.77,42.69,-0.29,33.47,4:1:1,15.37,Present
2023-06-22,23:31:07,42.22,6.8,79.35,958.14,54.87,157.95,13132.33,56.44,37.42,26.04,8.99,2.13,9.07,37.08,-0.44,43.68,4:1:1,11.1,Present
2023-05-30,19:33:47,42.72,6.5,51.56,932.83,199.81,198.22,12795.38,73.31,27.99,20.59,71.66,3.99,13.16,54.07,-0.32,66.39,Optimal,22.21,Absent
2024-09-19,07:01:07,38.27,6.93,53.05,989.81,140.28,292.09,18540.54,70.04,32.4,14.04,38.29,1.87,8.3,36.46,-0.22,65.2,3:1:1,12.44,Present
2024-08-01,19:25:55,43.71,6.96,45.01,1486.84,169.66,256.12,10302.55,58.64,33.82,11.73,24.62,4.07,9.1,48.95,0.5,46.48,2:1:2,11.42,Present
2025-07-19,03:26:23,42.62,6.96,58.0,985.59,110.55,279.26,11718.1,64.14,34.97,14.6,92.7,2.75,5.63,45.23,-0.18,58.06,2:1:2,15.12,Present
2024-02-07,20:32:04,36.05,7.25,70.05,907.91,190.12,182.11,13313.85,63.18,31.76,22.86,69.71,1.3,6.57,51.42,0.26,31.44,4:1:1,14.82,Absent
2023-01-05,21:17:42,35.65,6.62,66.57,1139.78,109.01,224.27,15317.78,66.23,37.73,15.06,4.33,3.09,17.94,37.78,-0.06,60.01,3:1:1,25.27,Present
2023-09-19,16:55:00,37.13,6.96,62.28,1332.67,143.44,190.21,19831.13,74.99,30.95,12.74,34.89,3.57,15.88,47.11,-0.42,54.58,4:1:1,12.93,Present
2024-02-03,15:03:42,43.57,7.0,43.45,1212.33,130.45,232.96,16366.54,67.21,37.74,20.77,55.23,4.39,7.37,42.4,-0.19,43.32,3:1:1,9.48,Present
2024-12-19,20:09:39,44.46,6.81,76.58,873.26,96.31,172.07,17765.99,66.5,29.88,18.82,29.76,1.37,11.94,43.64,0.02,46.19,Optimal,8.43,Present
2025-01-16,10:20:14,38.62,7.37,60.66,1149.25,138.89,205.26,18884.86,54.02,27.75,15.29,22.85,4.45,7.02,41.0,-0.31,66.61,2:1:2,16.42,Absent
2024-02-26,01:31:10,43.67,6.76,52.9,1422.13,66.23,206.15,10845.97,72.29,36.06,20.77,27.42,3.17,15.81,51.17,-0.4,41.85,Optimal,21.95,Present
2023-02-25,03:33:27,42.82,6.6,50.66,1367.94,192.45,206.39,19631.13,68.11,29.57,29.52,26.48,2.6,18.15,45.41,-0.4,65.75,3:1:1,6.04,Present
2025-05-26,03:39:54,36.62,7.14,59.24,844.58,179.68,197.15,10761.11,59.35,32.43,10.54,11.45,4.13,10.43,39.6,0.28,17.33,2:1:2,12.47,Present
2024-06-16,19:30:01,42.73,7.19,66.5,1397.95,197.08,177.29,18489.73,62.68,39.31,22.24,16.07,2.88,13.2,40.06,0.13,53.84,4:1:1,15.46,Present
2023-11-14,13:06:06,37.96,6.88,60.36,1350.39,115.69,161.2,17573.15,51.27,38.23,14.28,99.87,4.66,16.89,49.44,-0.16,44.02,3:1:1,24.94,Present
2023-01-25,00:17:36,40.78,7.28,64.69,876.43,129.33,207.53,15506.23,60.25,31.05,10.95,40.63,1.49,7.06,43.67,0.14,50.64,2:1:2,18.67,Present
2025-09-08,09:50:20,38.25,7.38,64.04,826.04,150.73,214.56,15325.8,54.85,38.24,16.23,59.64,1.25,16.88,36.79,-0.12,13.41,2:1:2,17.59,Absent
2024-08-17,10:04:52,44.4,7.47,71.58,1224.26,172.97,278.79,10177.09,72.53,36.48,24.24,42.04,4.71,16.97,35.91,0.25,16.64,3:1:1,26.27,Absent
2024-10-10,18:55:38,35.77,7.22,77.33,1146.02,155.63,259.57,14671.73,73.35,25.84,18.86,16.71,4.94,12.42,43.13,0.27,13.71,2:1:2,24.2,Absent
2025-04-21,20:36:02,36.52,7.44,78.85,1183.81,80.39,262.84,16421.3,50.73,25.14,27.66,25.3,2.1,15.57,54.24,0.13,16.3,4:1:1,25.99,Absent
2024-09-23,02:08:34,41.66,7.07,41.41,1049.56,178.2,298.31,13922.67,54.89,37.47,20.62,87.67,4.06,18.11,49.13,0.46,27.18,Optimal,22.37,Absent
2024-09-25,21:11:03,35.61,6.83,44.33,1321.15,87.67,208.08,15736.66,57.71,35.94,11.74,35.0,4.21,15.08,41.8,-0.29,57.99,3:1:1,7.89,Present
2023-08-16,07:54:39,37.72,7.19,56.75,1331.21,151.36,169.4,13246.74,57.73,37.7,28.03,81.82,4.74,13.47,54.32,-0.32,27.53,4:1:1,8.06,Absent
2025-02-03,21:47:22,38.89,7.21,47.69,1229.58,174.4,253.09,15631.49,53.54,32.97,25.28,45.48,3.51,9.89,38.82,0.49,23.38,2:1:2,11.27,Absent
2023-07-20,09:32:42,39.01,6.9,56.19,904.45,66.26,218.5,18789.58,61.96,30.71,22.13,4.57,2.86,8.27,52.94,0.3,69.77,4:1:1,24.3,Absent
2024-05-02,05:18:41,36.42,6.92,41.05,1075.2,102.44,225.66,15153.15,62.08,28.69,23.38,95.83,2.69,9.96,53.6,-0.31,21.89,Optimal,13.43,Absent
2023-03-13,23:02:12,35.92,7.19,49.64,1473.05,59.41,218.95,18623.46,71.32,27.27,26.45,67.32,3.05,5.07,36.62,-0.11,53.59,4:1:1,20.35,Present
2023-03-24,10:07:33,36.25,6.62,47.9,1243.49,160.77,253.79,10070.54,71.01,32.55,15.98,79.94,1.33,17.46,54.58,-0.29,62.71,2:1:2,23.61,Present
2023-08-18,05:32:17,44.95,7.43,52.85,955.81,72.85,254.46,14813.6,61.71,35.26,16.61,57.97,4.77,10.73,42.07,0.26,36.12,4:1:1,11.98,Present
2023-05-14,10:24:42,41.82,6.74,46.19,1266.89,100.22,298.35,12385.24,59.02,27.66,28.38,3.2,2.41,19.55,37.2,0.04,14.38,4:1:1,25.96,Absent
2024-11-02,11:22:56,42.96,6.93,41.13,962.66,116.28,296.05,16344.3,69.31,31.47,18.02,94.39,3.58,6.94,43.15,-0.31,27.37,3:1:1,29.39,Absent
2025-04-13,00:35:01,42.16,7.43,73.27,1105.31,155.95,258.8,13868.89,52.49,33.04,11.89,84.37,2.81,8.27,45.0,-0.25,68.41,Optimal,9.9,Present
2023-07-01,06:34:02,37.27,6.68,66.71,1112.76,110.38,289.32,12330.11,67.4,34.2,28.91,60.33,3.0,18.2,35.72,-0.33,67.84,3:1:1,25.35,Absent
2023-06-12,11:36:35,39.32,7.43,69.74,1122.34,189.35,171.56,16009.78,67.22,39.94,15.26,17.1,2.3,15.31,44.62,0.45,39.73,3:1:1,28.4,Absent
2024-11-20,23:47:09,44.84,6.59,60.02,1405.52,80.02,178.84,12567.48,55.2,26.44,16.38,75.96,1.55,14.61,40.49,-0.03,52.42,Optimal,16.74,Absent
2025-05-02,09:54:34,43.8,7.08,71.24,1169.38,188.64,282.44,15550.43,57.65,35.69,15.54,82.48,3.58,12.85,41.51,0.15,14.38,3:1:1,23.4,Absent
2023-05-31,05:41:04,42.39,6.59,71.16,1278.07,70.75,235.68,17733.42,61.7,36.44,12.3,51.45,1.56,7.88,40.23,-0.25,71.15,2:1:2,13.76,Absent
2025-08-25,09:28:12,42.62,6.65,59.53,1328.89,52.54,172.77,17526.75,59.86,30.92,27.81,35.65,1.87,5.5,51.08,0.37,48.86,Optimal,22.47,Present
2024-08-29,12:16:24,41.87,7.16,61.62,1113.04,76.53,249.91,15763.62,68.11,26.6,28.8,51.99,1.63,17.91,40.16,0.36,68.5,2:1:2,7.73,Absent
2025-08-21,22:06:17,39.69,7.08,68.04,890.77,61.32,241.12,17325.97,64.71,31.36,11.4,52.65,4.34,13.19,46.31,-0.4,64.25,2:1:2,9.02,Present
2025-06-17,03:04:38,39.1,7.14,50.41,1004.36,155.11,226.85,15556.93,66.47,39.08,29.72,56.46,3.02,18.23,50.09,-0.4,39.15,4:1:1,18.52,Absent
2023-07-04,00:02:33,39.02,7.05,76.84,1339.8,124.69,216.6,13520.08,73.25,33.38,25.32,45.62,3.29,19.41,48.83,0.46,44.18,3:1:1,11.97,Present
2024-09-23,21:59:56,42.81,7.29,55.4,979.96,72.68,202.47,18541.46,60.29,31.92,20.93,27.38,3.71,17.36,42.15,-0.05,24.43,2:1:2,14.4,Absent
