Datetime,CH4 (%),CO2 (%),Temperature (°C),pH,N (%),P (%),K (%),Pressure (atm)
2024-11-18 17:00:00,66.74,27.69,36.01,6.88,1.11,0.22,0.71,1.17
2024-11-18 23:00:00,57.43,31.87,39.81,7.41,0.55,0.21,0.68,1.15
2024-11-19 05:00:00,63.86,28.65,38.7,6.82,1.48,0.48,0.84,1.1
2024-11-19 13:00:00,55.64,28.61,36.92,7.3,1.38,0.22,0.8,1.09
2024-11-19 18:00:00,60.11,29.04,39.92,6.94,0.53,0.45,0.88,1.05
2024-11-20 00:00:00,61.47,22.99,35.13,7.23,1.37,0.24,0.72,1.06
2024-11-20 05:00:00,63.44,28.48,39.99,6.99,0.74,0.22,0.71,1.06
2024-11-20 13:00:00,58.51,27.45,39.28,6.94,1.12,0.5,0.65,1.14
2024-11-20 19:00:00,55.31,25.6,36.19,7.27,0.86,0.49,0.52,1.17
2024-11-21 01:00:00,54.44,29.37,38.97,6.88,0.81,0.53,0.82,1.04
2024-11-21 09:00:00,59.24,24.98,38.93,7.21,0.52,0.44,0.85,1.07
2024-11-21 14:00:00,67.79,26.75,35.77,6.89,1.37,0.28,0.58,1.14
2024-11-21 19:00:00,60.83,37.73,36.19,7.48,1.37,0.33,0.76,1.1
2024-11-22 03:00:00,56.63,24.84,36.37,6.86,0.76,0.34,0.58,1.1
2024-11-22 11:00:00,54.73,32.71,37.3,6.96,0.73,0.57,0.81,1.11
2024-11-22 17:00:00,67.73,38.35,38.0,7.25,0.5,0.5,0.52,1.16
2024-11-23 00:00:00,54.61,37.17,35.73,6.97,1.47,0.23,0.64,1.06
2024-11-23 07:00:00,53.54,32.92,39.54,7.0,0.89,0.4,0.86,1.11
2024-11-23 13:00:00,62.17,34.03,39.85,7.01,0.72,0.56,0.78,1.15
2024-11-23 20:00:00,62.6,38.74,38.28,7.29,1.43,0.22,0.94,1.14
2024-11-24 03:00:00,60.78,35.66,35.0,7.02,1.13,0.23,0.63,1.05
2024-11-24 11:00:00,63.06,31.93,38.49,7.0,1.39,0.4,0.56,1.1
2024-11-24 16:00:00,55.17,31.65,39.38,7.24,0.78,0.24,0.95,1.15
2024-11-24 23:00:00,61.83,31.43,38.57,7.2,1.2,0.46,0.5,1.14
2024-11-25 04:00:00,61.27,28.85,39.3,6.91,1.18,0.36,0.82,1.11
2024-11-25 09:00:00,69.99,22.41,37.27,6.86,0.6,0.22,0.66,1.1
2024-11-25 17:00:00,68.37,39.11,39.86,6.95,0.85,0.56,0.84,1.11
2024-11-25 22:00:00,57.62,31.85,36.82,6.82,0.92,0.54,0.61,1.18
2024-11-26 05:00:00,53.33,29.12,37.91,7.09,1.48,0.56,0.51,1.05
2024-11-26 11:00:00,51.31,29.97,37.67,7.38,0.72,0.41,0.87,1.19
2024-11-26 19:00:00,58.01,33.77,38.93,7.45,1.22,0.5,0.93,1.11
2024-11-27 03:00:00,51.18,32.46,39.86,7.16,0.81,0.37,0.86,1.08
2024-11-27 10:00:00,56.09,34.81,38.79,6.86,0.98,0.27,0.74,1.19
2024-11-27 17:00:00,53.81,30.45,37.24,7.3,1.42,0.52,0.63,1.11
2024-11-28 01:00:00,63.6,31.99,39.4,6.87,0.84,0.35,0.89,1.1
2024-11-28 07:00:00,66.29,26.86,38.91,7.02,1.45,0.41,0.59,1.09
2024-11-28 12:00:00,58.73,24.35,36.68,7.48,1.14,0.38,0.63,1.2
2024-11-28 20:00:00,59.64,37.75,39.62,6.9,1.2,0.46,0.75,1.09
2024-11-29 01:00:00,53.61,20.84,39.74,7.03,1.09,0.55,0.66,1.08
2024-11-29 08:00:00,66.21,39.52,39.44,7.09,0.93,0.31,0.78,1.13
2024-11-29 13:00:00,55.48,31.4,38.8,7.44,1.08,0.21,0.93,1.09
2024-11-29 21:00:00,53.59,23.88,37.58,7.36,1.05,0.53,0.82,1.15
2024-11-30 04:00:00,52.49,22.37,35.05,7.44,0.93,0.49,0.84,1.16
2024-11-30 11:00:00,65.51,23.99,38.89,6.93,1.45,0.32,0.88,1.07
2024-11-30 18:00:00,53.94,39.24,37.74,7.38,1.28,0.36,0.74,1.1
